dataset_name,is_vision,is_grounding,base_weight,upweight_weight,weight_changed,packed_rows,base_samples_seen,upweight_samples_seen,base_epochs,upweight_epochs,gcs_path
openbee_honey_stem_mavis_geo_v1_en,True,False,0.005613175930912372,0.005613175930912372,False,19859,11495.8,11495.8,0.5789,0.5789,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_stem_mavis_geo_v1_en/train_seq_len_8193/
openbee_honey_general_lvis_instructv4_v1_en,True,True,0.0056097946693707355,0.0056097946693707355,False,19913,11488.9,11488.9,0.577,0.577,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_lvis_instructv4_v1_en/train_seq_len_8193/
multilingual_mtexpert_sft_mt_coverage_extension,False,False,0.005606036669340289,0.005606036669340289,False,,11481.2,11481.2,,,gs://cohere-command/data/generated_jsonl_data/multilingual_mtexpert_sft_mt_coverage_extension/2025_11_13/training_formats/tfrecord-v3.0.2_chat_turns_renderer_v4.2_FineGrainedLangIDFilter_3c26ebb3b1fa_r2l255k+chat+agents3+img+remap+response+text+delimit_8192_pack-heapq_pack-test-heapq_maxpackedinrow-128/train/tfrecords
openbee_honey_general_pixmo_askmodelanything_v1_en,True,False,0.005586971153964686,0.005586971153964686,False,20172,11442.1,11442.1,0.5672,0.5672,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_pixmo_askmodelanything_v1_en/train_seq_len_8193/
multilingual_mtexpert_sft_mt_coverage,False,False,0.005386027921473014,0.005386027921473014,False,,11030.6,11030.6,,,gs://cohere-command/data/generated_jsonl_data/multilingual_mtexpert_sft_mt_coverage/2025_11_14/training_formats/tfrecord-v3.0.2_chat_turns_renderer_v4.2_r2l255k+chat+agents3+img+remap+response+text+delimit_8192_pack-heapq_pack-test-heapq_maxpackedinrow-128/train/tfrecords
openbee_honey_chart_plotqa_v1_en,True,False,0.005251380945957226,0.005251380945957226,False,18443,10754.8,10754.8,0.5831,0.5831,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_plotqa_v1_en/train_seq_len_8193/
openbee_honey_general_nlvr2_v1_en,True,False,0.0051744572458849855,0.0051744572458849855,False,18188,10597.3,10597.3,0.5827,0.5827,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_nlvr2_v1_en/train_seq_len_8193/
openbee_honey_general_hq_edit_v1_en,True,False,0.005114158081725794,0.005114158081725794,False,18126,10473.8,10473.8,0.5778,0.5778,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_hq_edit_v1_en/train_seq_len_8193/
openbee_honey_general_cambrian_filter_v1_en,True,False,0.004652052337702086,0.004652052337702086,False,16384,9527.4,9527.4,0.5815,0.5815,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_cambrian_filter_v1_en/train_seq_len_8193/
cambrian_10m_websight,True,False,0.004396584521156494,0.004396584521156494,False,268819,9004.2,9004.2,0.0335,0.0335,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/cambrian_10m_websight/train_seq_len_8193
clevr_math_train,True,True,0.003939616755456463,0.0,True,22752,8068.3,0.0,0.3546,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/clevr_math_train/train_seq_len_8193
pixmo_cap_customprompts,True,False,0.003689025114705067,0.003689025114705067,False,201759,7555.1,7555.1,0.0374,0.0374,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/pixmo_cap_customprompts/train_seq_len_8193
pixmo_cap_qa,True,False,0.003689025114705067,0.003689025114705067,False,73351,7555.1,7555.1,0.103,0.103,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/pixmo_cap_qa/train_seq_len_8193
pixmo_point_expl,True,True,0.003689025114705067,0.0221341506882304,True,17941,7555.1,45330.7,0.4211,2.5267,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/pixmo_point_expl/train_seq_len_8193
openbee_honey_ocr_k12_printing_v1_en,True,False,0.003585264321315648,0.003585264321315648,False,13497,7342.6,7342.6,0.544,0.544,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_ocr_k12_printing_v1_en/train_seq_len_8193/
openbee_honey_chart_mavis_function_v1_en,True,False,0.0035582142289825526,0.0035582142289825526,False,12512,7287.2,7287.2,0.5824,0.5824,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_mavis_function_v1_en/train_seq_len_8193/
gpt_oss_sft_task_force_math_nov_14_amalgamation,False,False,0.0034256044931085887,0.0034256044931085887,False,,7015.6,7015.6,,,gs://cohere-command/data/generated_jsonl_data/gpt_oss_sft_task_force_math_nov_14_amalgamation/2025_11_14/training_formats/tfrecord-v3.0.2_chat_turns_renderer_v4.2_RemoveReasoningTraces_988f8683cc3c_FilterByCharacterLength_cf247a8dba17_r2l255k+chat+agents3+img+remap+response+text+delimit_8192_pack-heapq_pack-test-heapq_maxpackedinrow-128/train/tfrecords
openbee_honey_document_fintabnet_v1_en,True,False,0.003363509918543295,0.003363509918543295,False,10614,6888.5,6888.5,0.649,0.649,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_document_fintabnet_v1_en/train_seq_len_8193/
openbee_honey_general_co_instruct_v1_en,True,False,0.0033398410877518367,0.0033398410877518367,False,11820,6840.0,6840.0,0.5787,0.5787,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_co_instruct_v1_en/train_seq_len_8193/
mammoth_ocr_junpeng,True,False,0.0033373869214816487,0.0033373869214816487,False,100959,6835.0,6835.0,0.0677,0.0677,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_ocr_junpeng/train_seq_len_8193
openbee_honey_chart_ureader_kg_v1_en,True,False,0.0032724976287142357,0.0032724976287142357,False,11359,6702.1,6702.1,0.59,0.59,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_ureader_kg_v1_en/train_seq_len_8193/
openbee_honey_chart_robut_wtq_v1_en,True,False,0.0032412209594540943,0.0032412209594540943,False,11238,6638.0,6638.0,0.5907,0.5907,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_robut_wtq_v1_en/train_seq_len_8193/
openbee_honey_stem_metamathqa_v1_en,True,False,0.003088782418285298,0.003088782418285298,False,10314,6325.8,6325.8,0.6133,0.6133,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_stem_metamathqa_v1_en/train_seq_len_8193/
openbee_honey_general_vist_v1_en,True,False,0.0030617323259522033,0.0030617323259522033,False,11097,6270.4,6270.4,0.5651,0.5651,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_vist_v1_en/train_seq_len_8193/
multilingual_mtexpert_sft_23langs_130k_docs,False,False,0.0030245413127858983,0.0030245413127858983,False,,6194.3,6194.3,,,gs://cohere-command/data/generated_jsonl_data/multilingual_mtexpert_sft_23langs_130k_docs/2025_11_14/training_formats/tfrecord-v3.0.2_chat_turns_renderer_v4.2_FineGrainedLangIDFilter_3c26ebb3b1fa_r2l255k+chat+agents3+img+remap+response+text+delimit_8192_pack-heapq_pack-test-heapq_maxpackedinrow-128/train/tfrecords
openbee_honey_general_pixmo_points_explanations_v1_en,True,True,0.0029946706387097384,0.01796802383225843,True,10798,6133.1,36798.5,0.568,3.4079,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_pixmo_points_explanations_v1_en/train_seq_len_8193/
mammoth_svit_mix_665k,True,False,0.0029800918284727156,0.0029800918284727156,False,94647,6103.2,6103.2,0.0645,0.0645,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_svit_mix_665k/train_seq_len_8193
openbee_honey_document_docmatix_v1_en,True,False,0.0029524048694392767,0.0029524048694392767,False,10496,6046.5,6046.5,0.5761,0.5761,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_document_docmatix_v1_en/train_seq_len_8193/
cambrian_10m_arxivqa,True,False,0.0028794544038960135,0.0028794544038960135,False,41399,5897.1,5897.1,0.1424,0.1424,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/cambrian_10m_arxivqa/train_seq_len_8193
openbee_honey_stem_cosyn_math_v1_en,True,False,0.002845895130877715,0.002845895130877715,False,9671,5828.4,5828.4,0.6027,0.6027,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_stem_cosyn_math_v1_en/train_seq_len_8193/
cambrian_10m_allava,True,False,0.0027152623554972375,0.0027152623554972375,False,140008,5560.9,5560.9,0.0397,0.0397,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/cambrian_10m_allava/train_seq_len_8193
openbee_honey_stem_raven_v1_en,True,False,0.0026664064973758233,0.0026664064973758233,False,9291,5460.8,5460.8,0.5878,0.5878,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_stem_raven_v1_en/train_seq_len_8193/
openbee_honey_stem_geoqa_v1_en,True,False,0.0026083615075777234,0.0026083615075777234,False,8707,5341.9,5341.9,0.6135,0.6135,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_stem_geoqa_v1_en/train_seq_len_8193/
openbee_honey_ocr_textocr_v1_en,True,False,0.0025869468511473567,0.0025869468511473567,False,9365,5298.1,5298.1,0.5657,0.5657,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_ocr_textocr_v1_en/train_seq_len_8193/
openbee_honey_general_dreamsim_v1_en,True,False,0.0025773666101127184,0.0025773666101127184,False,9810,5278.4,5278.4,0.5381,0.5381,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_dreamsim_v1_en/train_seq_len_8193/
cambrian_10m_synthdog,True,False,0.002539375697781626,0.002539375697781626,False,130593,5200.6,5200.6,0.0398,0.0398,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/cambrian_10m_synthdog/train_seq_len_8193
cambrian_10m_coco,True,False,0.0025171253799061363,0.05359130859375,True,73170,5155.1,109755.0,0.0705,1.5,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/cambrian_10m_coco/train_seq_len_8193
